example_id,pair_id,conversation_id,customer_message,context_before_customer,brand_response,is_initial_inquiry,existing_heuristic_intent,existing_candidate_intents,hard_case_category,response_type,sampling_stratum,human_primary_intent,human_secondary_intents,human_is_ambiguous,human_is_multi_intent,human_notes,annotation_status,annotation_method,suggested_primary_intent,suggested_secondary_intents,suggested_is_ambiguous,suggested_is_multi_intent,suggested_notes,suggestion_confidence,suggestion_reasoning
cand_0014,pair_189310_189311,189315,@SpotifyCares @115888 I won't take no for an answer or stop so make it happen!,"Customer: @SpotifyCares @115888 Is there any way to view the songs on last week's Discover Weekly playlist please???
Brand: @160405 Hey there! Unfortunately, we're unable to recover your previous Discover Weekly. We'd suggest saving your favorites moving forward /LP
Customer: @SpotifyCares @115888 Come on that's absurd SOMEONE at Spotify can email me the list from last week. Pretty absurd if u don't tell me.
Brand: @160405 Sorry you feel that way. Rest assured, your feedback will be passed on to the right folks /NQ
Customer: @SpotifyCares Its not how I feel. It's a FACT that many @115888 employees have access to that info so please send it to me.","@160405 At this time, we're afraid it's not possible for us to retrieve the info. Thanks for sharing your thoughts /NQ",False,playlist_library_curation,,normal,Information / Explanation,multi_turn_followup,,,,,,pending,,playlist_library_curation,,False,False,Context used because the customer message alone was underspecified. Brand response shown for reviewer orientation only.,medium,"Customer follow-up is underspecified, but preceding context matches playlist_library_curation."
cand_0015,pair_189935_2037061,189825,@115888 I have spotify premium with the student discount already... do I have to pay for Hulu as well?,Customer: Students now get access to Hulu with Spotify Premium. And it’s still just $4.99/month.  https://t.co/u2Yb1qUpnR,@602280 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,False,billing_subscription_payment,"billing_subscription_payment,plan_management_discount",multi_intent,Redirect / DM,hard_case_multi_intent,,,,,,pending,,billing_subscription_payment,plan_management_discount,False,True,Brand response shown for reviewer orientation only. Financial-support category requires human review before final annotation.,medium,"Multiple taxonomy patterns matched (billing_subscription_payment, plan_management_discount); guideline priority rules select billing_subscription_payment."
cand_0016,pair_199121_199122,199121,@SpotifyCares Please don’t make this the default view of artwork when playing a song. Thanks. https://t.co/ihBfPlxirS,,@162922 1: Hi Jonny! Thanks for your feedback. Only some Spotify-created playlists currently have that format. We're always testing things in...,True,playback_streaming_issue,playback_streaming_issue,normal,Other / Miscellaneous,intent_coverage_playback_streaming_issue,,,,,,pending,,playback_streaming_issue,other_miscellaneous,True,True,Brand response shown for reviewer orientation only.,medium,"Multiple taxonomy patterns matched (playback_streaming_issue, other_miscellaneous); guideline priority rules select playback_streaming_issue."
cand_0017,pair_199174_199172,199174,@115888 if you made speakers with the same functionality as Sonos (sound quality too) you'd take over the world,,"@162936 We hear you loud and clear, Jamie! Your feedback has been noted and passed onto the team 👊🏼 /MA",True,app_technical_device,app_technical_device,normal,Other / Miscellaneous,intent_coverage_app_technical_device,,,,,,pending,,app_technical_device,,False,False,Brand response shown for reviewer orientation only.,high,Customer message contains specific evidence matching app_technical_device in the documented taxonomy.
cand_0018,pair_226187_226191,226187,@SpotifyCares @115888 @127637 all my saved and downloaded songs suddenly disappeared whyyy??? Good thing my playlists are still good,,@169999 1. Hey Chantal! Head over here to know more about why this could've happened and which steps to take next: https://t.co/XpxqnLhytY.,True,offline_downloads_issue,"offline_downloads_issue,playlist_library_curation",multi_intent,Other / Miscellaneous,hard_case_multi_intent,,,,,,pending,,offline_downloads_issue,playlist_library_curation,True,True,Brand response shown for reviewer orientation only.,medium,"Multiple taxonomy patterns matched (offline_downloads_issue, playlist_library_curation); guideline priority rules select offline_downloads_issue."
cand_0019,pair_257849_1802422,257848,@125633 Is there a tool to post a playlist from an artist page yet? It'd be good to share playlists with fans that don't lead back to personal page,Customer: Great news: You can now edit your artist bio on Spotify! Learn more here: https://t.co/IpYag6Y4RH https://t.co/u2eZp4OgDv,"@541590 Hey! You can contact our Artist team here: https://t.co/p1wbtdELHu! If you've reached out, DM us your email address &amp; we'll chase it up /Q https://t.co/ldFdZRiNAt",False,content_catalog_licensing,"content_catalog_licensing,playlist_library_curation",multi_intent,Redirect / DM,hard_case_multi_intent,playlist_library_curation,,False,False,,reviewed,human_override,content_catalog_licensing,playlist_library_curation,True,True,Brand response shown for reviewer orientation only.,medium,"Multiple taxonomy patterns matched (content_catalog_licensing, playlist_library_curation); guideline priority rules select content_catalog_licensing."
cand_0020,pair_257844_257843,257848,@SpotifyCares I am having a similar issue. When I paste my bio it isn't showing up. It is also not letting me paste my wiki link.,"Customer: Great news: You can now edit your artist bio on Spotify! Learn more here: https://t.co/IpYag6Y4RH https://t.co/u2eZp4OgDv
Customer: @125633 I'm not able to click in the box to type to add my bio?!?!?! Has anyone else had this problem?
Brand: @177342 Hi Mali, help's here! What device are you trying to edit your artist bio from? Have you tried an incognito window or different browser? /T",@177341 2: You might also want to try using an incognito window. Let us know how it goes /MQ,False,content_catalog_licensing,,normal,Other / Miscellaneous,multi_turn_followup,,,,,,pending,,content_catalog_licensing,other_miscellaneous,True,True,Context used because the customer message alone was underspecified. Brand response shown for reviewer orientation only.,medium,"Multiple taxonomy patterns matched (content_catalog_licensing, other_miscellaneous); guideline priority rules select content_catalog_licensing."
cand_0021,pair_261670_261668,261680,@SpotifyCares @178316 the correct artists on the song would be @178316 (https://t.co/ut7LdsbV31) and me (https://t.co/AeaVD76eKj). Mine seems to be correct.,"Customer: This is not ok. i am beyond pissed. https://t.co/Arr2BNcsN3
Customer: @178316 @SpotifyCares please fix? =)
Brand: @178315 Hey there! We'd love to help. Can you let us know what's happening exactly? /RC
Customer: @SpotifyCares I recently asked to have my multiple accounts merged. This song was one of the ones being 'moved', and I'm not sure if this is connected 1/2
Customer: @SpotifyCares But the original artist is this @178316 ,and the song is now under a different Sekai. Even though it was originally under the right one.",@178315 Got it. We'll get this reported. Great detective work! https://t.co/LpsmyUtme0 /RC,False,content_catalog_licensing,,normal,Other / Miscellaneous,multi_turn_followup,,,,,,pending,,content_catalog_licensing,other_miscellaneous,True,True,Context used because the customer message alone was underspecified. Brand response shown for reviewer orientation only.,medium,"Multiple taxonomy patterns matched (content_catalog_licensing, other_miscellaneous); guideline priority rules select content_catalog_licensing."
cand_0022,pair_278130_278131,278132,@SpotifyCares It worked thank you🙏👌🏻,"Customer: @SpotifyCares what does the Red Download sign mean
Customer: @SpotifyCares Im on ios 10.0.2 on an iPhone 5s
Brand: @182416 Got it! Are you getting any error messages? If you can send us a screenshot of what you're seeing, that'd be great /PL
Customer: @SpotifyCares And in the Album
Brand: @182416 Thanks! Can you check if restarting your router helps? Can you also try using a 3G/4G connection to see if it will do the same thing? /PL
Customer: @SpotifyCares But is that the only Thing i Can do?
Brand: @182416 Can you try logging out &gt; restarting the device &gt; logging back in? Let us know if it makes any difference /PL",@182416 Great! Glad to hear it's working. Just let us know if we can help with anything else. https://t.co/m4HWSbgHVZ /PL,False,offline_downloads_issue,,context_dependent_followup,Generic Acknowledgement,hard_case_context_dependent_followup,offline_downloads_issue,,False,False,,reviewed,human_override,other_miscellaneous,,False,False,Brand response shown for reviewer orientation only.,low,No specific support-domain evidence matched; guidelines keep this as other_miscellaneous rather than inventing a label.
cand_0023,pair_280591_280590,280591,@115888 why don't you work on my wifi traveling to work? And your app isn't given me the option to upgrade to premium.. my data is low,,@182850 1: Hey Sophie! Can you let us know your device's make/model and the versions of its OS and the Spotify app? We'll see what we can do to help,True,plan_management_discount,plan_management_discount,normal,Clarification / Request for Info,intent_coverage_plan_management_discount,,,,,,pending,,plan_management_discount,,False,False,Brand response shown for reviewer orientation only.,high,Customer message contains specific evidence matching plan_management_discount in the documented taxonomy.
cand_0024,pair_312211_312209,312211,"@SpotifyCares I'm unable to play any of the tracks from here on Android. Any idea why?
https://t.co/4JC0SfRU1g",,"@190563 Hey Miles! Does logging out, restarting your device, and logging back in make a difference? /LO",True,unclear_insufficient_context,,normal,Troubleshooting / Actionable,intent_coverage_unclear_insufficient_context,,,,,,pending,,unclear_insufficient_context,,True,False,Brand response shown for reviewer orientation only.,low,Customer message and available context lack enough diagnostic detail; guidelines route this to unclear_insufficient_context.
cand_0025,pair_315118_315117,315118,"@SpotifyCares Hi, I can't login on android. App keeps telling me the device is offline. When I press""connect"", nothing happens. Please help",,@191231 Hi there! Help's here. Can you try restarting your device to see if it makes a difference? Keep us posted /MU,True,offline_downloads_issue,"offline_downloads_issue,account_access_credentials",multi_intent,Troubleshooting / Actionable,hard_case_multi_intent,,,,,,pending,,offline_downloads_issue,account_access_credentials,True,True,Brand response shown for reviewer orientation only.,medium,"Multiple taxonomy patterns matched (offline_downloads_issue, account_access_credentials); guideline priority rules select offline_downloads_issue."
cand_0026,pair_315362_315361,315362,"@115888 So, when are you lot changing the time capsule now playing page to every playlist? looks damn goood",,"@191286 Hey there! We don't have any info to share right now, but we'll let the right team know it's something you'd like to see /AN",True,playlist_library_curation,"playback_streaming_issue,playlist_library_curation",multi_intent,Other / Miscellaneous,hard_case_multi_intent,,,,,,pending,,playlist_library_curation,playback_streaming_issue,True,True,Brand response shown for reviewer orientation only.,medium,"Multiple taxonomy patterns matched (playback_streaming_issue, playlist_library_curation); guideline priority rules select playlist_library_curation."
cand_0027,pair_322402_322401,322402,@SpotifyCares I haven’t been able to skip a song on my phone in 2 weeks? I thought you got 5 a day?,,@192808 Hi there! Help's here. Can you see if logging out &gt; restarting your device &gt; logging back in makes a difference Keep us posted /MU,True,other_miscellaneous,,normal,Troubleshooting / Actionable,intent_coverage_other_miscellaneous,,,,,,pending,,other_miscellaneous,,False,False,Brand response shown for reviewer orientation only.,low,No specific support-domain evidence matched; guidelines keep this as other_miscellaneous rather than inventing a label.
cand_0028,pair_371972_371971,371972,@SpotifyCares I've been trying to get access to my artist page for two months. Is the wait normal?Is there anything I can do to speed it up?,,"@204112 Hey there! Could you DM us your artist URI, and your contact email address? We’ll chase this up /NQ https://t.co/ldFdZRiNAt",True,content_catalog_licensing,content_catalog_licensing,normal,Redirect / DM,intent_coverage_content_catalog_licensing,,,,,,pending,,content_catalog_licensing,,False,False,Brand response shown for reviewer orientation only.,high,Customer message contains specific evidence matching content_catalog_licensing in the documented taxonomy.
cand_0029,pair_377563_377565,377564,@SpotifyCares it says im offline on the desktop app but im connected to the wifi...and for the webplayer it’s stuck on an ad that wont play...,"Customer: @115888 your desktop app and online web player have been troublesome for the past few days, what gives
Brand: @205597 Hey there! Can you let us know what's happening exactly? We'll see what we can suggest /FR",@205597 That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /VK,False,offline_downloads_issue,"playback_streaming_issue,offline_downloads_issue,app_technical_device",multi_intent,Troubleshooting / Actionable,hard_case_multi_intent,app_technical_device,playback_streaming_issue,False,True,,reviewed,human_override,offline_downloads_issue,"playback_streaming_issue,app_technical_device",True,True,Brand response shown for reviewer orientation only.,medium,"Multiple taxonomy patterns matched (playback_streaming_issue, offline_downloads_issue, app_technical_device); guideline priority rules select offline_downloads_issue."
cand_0030,pair_378898_378897,378899,@115888 pls I’m pretty sure this is not what u call a shuffle lol https://t.co/5JeEKhMKLb,Customer: honestly hmu when @115888 shuffle doesn’t let me down,@205917 Hey! Looks like you're using Connect. The right team are aware of this issue between Shuffle and Connect and they're investigating /RH,False,playlist_library_curation,playlist_library_curation,normal,Other / Miscellaneous,multi_turn_followup,,,,,,pending,,playlist_library_curation,,False,False,Brand response shown for reviewer orientation only.,high,Customer message contains specific evidence matching playlist_library_curation in the documented taxonomy.
cand_0031,pair_384897_384896,384897,@spotifycares my student discount wasn’t applied to this months bill and I’m not paying £10? Please can you sort,,@207123 Hi there! Can you DM us your account's email address and username? We'll take a closer look /SC https://t.co/ldFdZRiNAt,True,billing_subscription_payment,"billing_subscription_payment,plan_management_discount",multi_intent,Redirect / DM,hard_case_multi_intent,,,,,,pending,,billing_subscription_payment,plan_management_discount,False,True,Brand response shown for reviewer orientation only. Financial-support category requires human review before final annotation.,medium,"Multiple taxonomy patterns matched (billing_subscription_payment, plan_management_discount); guideline priority rules select billing_subscription_payment."
cand_0032,pair_396203_396204,396206,@SpotifyCares Just sent you a DM,"Customer: @SpotifyCares Hi I was wondering when the Recently Played Artists section is going to be fixed? Mine hasn’t updated in months, many thanks
Brand: @209815 Hey Alex, help's here. Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /KL
Customer: @SpotifyCares I’m using a MacBook Air, macOS Sierra (10.12.6) &amp; the latest version of Spotify (1.0.65.320). I’ve tried clearing the storage cache as well.
Brand: @209815 Thanks! Is this happening while connected to WiFi, 3G/4G or both? /KL
Customer: @SpotifyCares I’m just on WiFi.
Brand: @209815 Got it. Have you tried connecting to another network? Keep us in the loop /KL
Customer: @SpotifyCares I’m at uni right now, so I’m with their ISP, it’s been the same back home with my ISP, so yes I’ve been on different networks.
Brand: @209815 Okay! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /KL
Customer: @SpotifyCares It doesn’t no, I don’t think it’s an issue with my computer. I’ve seen online that other people’s recently played doesn’t update as well.
Brand: @209815 That's odd. Just to be sure, are you usually on Private Session? If so, this might be the reason why it hasn't updated /KL
Customer: @SpotifyCares No I don’t use a private session, I think it’s not updating with a server or something, that’s why there’s artists I don’t listen to on it.
Brand: @209815 Can you DM us your account's username and email address? We'll take a look backstage /KL https://t.co/ldFdZRiNAt",@209815 Hey Alex! We've just sent you a DM. Let's carry on chatting there 🙂 /KL,False,offline_downloads_issue,,context_dependent_followup,Other / Miscellaneous,hard_case_context_dependent_followup,,,,,,pending,,offline_downloads_issue,"account_access_credentials,app_technical_device,other_miscellaneous",True,True,Context used because the customer message alone was underspecified. Brand response shown for reviewer orientation only.,medium,"Multiple taxonomy patterns matched (offline_downloads_issue, account_access_credentials, app_technical_device, other_miscellaneous); guideline priority rules select offline_downloads_issue."
cand_0033,pair_404220_404219,404222,"@SpotifyCares Really getting fed up with this app that can’t maintain downloaded files, has been a problem for over a year for me",Customer: .@SpotifyCares standing at an airport terminal and found that my iPhone Spotify app deleted my entire downloaded library for the 12th time.,"@211677 1: Hey Chase, sorry to hear that! Check out the steps under “Downloads unexpectedly removed”...",False,offline_downloads_issue,offline_downloads_issue,normal,Other / Miscellaneous,multi_turn_followup,,,,,,pending,,offline_downloads_issue,,False,False,Brand response shown for reviewer orientation only.,high,Customer message contains specific evidence matching offline_downloads_issue in the documented taxonomy.
cand_0034,pair_411619_411618,411619,my spotify on my mac keeps crashing please help @SpotifyCares,,@213195 Hey Emily! That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /RV,True,app_technical_device,app_technical_device,normal,Troubleshooting / Actionable,intent_coverage_app_technical_device,,,,,,pending,,app_technical_device,,False,False,Brand response shown for reviewer orientation only.,high,Customer message contains specific evidence matching app_technical_device in the documented taxonomy.
cand_0035,pair_416509_416508,416509,i wish there was a replay button on spotify,,@214358 Hey there! Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /MO,True,other_miscellaneous,,normal,Other / Miscellaneous,intent_coverage_other_miscellaneous,,,,,,pending,,other_miscellaneous,,False,False,Brand response shown for reviewer orientation only.,low,No specific support-domain evidence matched; guidelines keep this as other_miscellaneous rather than inventing a label.
cand_0036,pair_426791_426790,426791,@SpotifyCares I was just billed twice. Help. Please.,,@216508 Hi there! Can you DM us your account's email address? We'll have a look backstage /ST https://t.co/ldFdZRiNAt,True,billing_subscription_payment,billing_subscription_payment,normal,Redirect / DM,intent_coverage_billing_subscription_payment,,,,,,pending,,billing_subscription_payment,,False,False,Brand response shown for reviewer orientation only. Financial-support category requires human review before final annotation.,high,Customer message contains specific evidence matching billing_subscription_payment in the documented taxonomy.
cand_0037,pair_465262_465265,465266,@SpotifyCares __email__,"Customer: Help @SpotifyCares
Customer: @SpotifyCares Im using a Samsung galaxy s7
Brand: @225673 Can you fire over your account's email address? We'll take a look backstage /RA","@225673 Oops, sorry about that. For security reasons, we'd suggest removing the tweet that contains your email address and sending us a DM instead /RA https://t.co/ldFdZRiNAt",False,account_access_credentials,,context_dependent_followup,Redirect / DM,hard_case_context_dependent_followup,,,,,,pending,,account_access_credentials,,False,False,Context used because the customer message alone was underspecified. Brand response shown for reviewer orientation only. Account/security category requires human review before final annotation.,medium,"Customer follow-up is underspecified, but preceding context matches account_access_credentials."
cand_0038,pair_466099_466098,466099,"@SpotifyCares @117153 @115888 why don't the music we save get saved either in the order we save them or by the album release date? And also, why make the whole album visible when we enter and artist? 😓😧",,"@225898 Hey Kaio! We appreciate your comments. We don't have any info on this right now, but we'll pass your feedback on to the right team. In the meantime, you can try to sort and filter your songs. More info here:https://t.co/myAf3mlgcv /MO",True,content_catalog_licensing,content_catalog_licensing,normal,Information / Explanation,intent_coverage_content_catalog_licensing,,,,,,pending,,content_catalog_licensing,,False,False,Brand response shown for reviewer orientation only.,high,Customer message contains specific evidence matching content_catalog_licensing in the documented taxonomy.
cand_0039,pair_468356_617812,468354,@117153 I can't pay with PayPal today to upgrade to premium!,Customer: We're investigating some payment issues and working hard to get things fixed. We'll provide updates here as we receive them.,@266582 Hey Matteo! Can you DM us your account's username and email address? We'll take a look backstage /SY https://t.co/ldFdZRiNAt,False,billing_subscription_payment,"billing_subscription_payment,plan_management_discount",multi_intent,Redirect / DM,hard_case_multi_intent,,,,,,pending,,billing_subscription_payment,plan_management_discount,False,True,Brand response shown for reviewer orientation only. Financial-support category requires human review before final annotation.,medium,"Multiple taxonomy patterns matched (billing_subscription_payment, plan_management_discount); guideline priority rules select billing_subscription_payment."
cand_0040,pair_468938_468937,468938,@SpotifyCares is there a Spotify apple watch app? I can't find it,,@226654 Hey Jason! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/BysL5LFq6X /LO,True,app_technical_device,app_technical_device,normal,Other / Miscellaneous,intent_coverage_app_technical_device,,,,,,pending,,app_technical_device,,False,False,Brand response shown for reviewer orientation only.,high,Customer message contains specific evidence matching app_technical_device in the documented taxonomy.
cand_0041,pair_500953_500952,500953,@SpotifyCares Hi can't update payment info with new payment method. Tried canceling account and that didn't work either. HELP!,,"@234667 Hey Spencer, help's here. Can you DM us your account's email address and username? We'll take a look backstage /TX https://t.co/ldFdZRiNAt",True,billing_subscription_payment,"billing_subscription_payment,app_technical_device",multi_intent,Redirect / DM,hard_case_multi_intent,,,,,,pending,,billing_subscription_payment,app_technical_device,False,True,Brand response shown for reviewer orientation only. Financial-support category requires human review before final annotation.,medium,"Multiple taxonomy patterns matched (billing_subscription_payment, app_technical_device); guideline priority rules select billing_subscription_payment."
cand_0042,pair_500990_2920668,500972,@117153 Down in NYC,"Customer: Something’s not quite right, and we’re looking into it. Thanks for your reports!",@808336 Hey Philip! Thanks for letting us know. Everything’s looking good on our end now - are you still having this issue? /FR,False,unclear_insufficient_context,,context_dependent_followup,Generic Acknowledgement,hard_case_context_dependent_followup,,,,,,pending,,other_miscellaneous,,False,False,Context used because the customer message alone was underspecified. Brand response shown for reviewer orientation only.,medium,"Customer follow-up is underspecified, but preceding context matches other_miscellaneous."
cand_0043,pair_539211_539210,539211,@115888 I just paid for a full year for a discount. What I didn't realise is that I just paid 3 days ago for my next month of service. Wil I get those extra 27 days tacked onto my year of paid service?,,"@245032 Hey Mick, help's here! Can you send over the username or email address on your account? We'll take a look backstage /GN https://t.co/ldFdZRiNAt",True,billing_subscription_payment,billing_subscription_payment,normal,Redirect / DM,intent_coverage_billing_subscription_payment,,,,,,pending,,billing_subscription_payment,,False,False,Brand response shown for reviewer orientation only. Financial-support category requires human review before final annotation.,high,Customer message contains specific evidence matching billing_subscription_payment in the documented taxonomy.
cand_0044,pair_543150_543149,543150,What's happening on spotify's system? I tried it for 15 times already since 1pm until now. I can't subscribe again into premium and I don't know why. ☹️ please help me to fix this shit! @SpotifyCares @148611 https://t.co/fTriAOfIbw,,"@246125 Hey Mark, help's here! We've just sent a DM your way. Let's carry on chatting there /CO",True,unclear_insufficient_context,,normal,Other / Miscellaneous,intent_coverage_unclear_insufficient_context,,,,,,pending,,unclear_insufficient_context,,True,False,Brand response shown for reviewer orientation only.,low,Customer message and available context lack enough diagnostic detail; guidelines route this to unclear_insufficient_context.
cand_0045,pair_555487_555489,555488,"@SpotifyCares BUT WHY YOU DIDN'T SIGN WITH THESE ARTIST THEY ARE GREAT AND I'M SURE THAT THEY WANT SING WITH YOU.
Also, they have many fans.","Customer: @115888 can you add likey of @9977 , hellaveator of @25370 ,all of @248108 and @18284 ??? thanksssss 😘
Brand: @249702 Hey there! Music availability all boils down to licensing agreements. We have more info here: https://t.co/2FJce6Rcpg. Let us know if you have any other questions /LM","@249702 We have no doubt about that. Don't worry, we’ll have them available to you as soon as they're available to us. Give us a shout if you need a hand with anything else /MG",False,content_catalog_licensing,content_catalog_licensing,normal,Other / Miscellaneous,multi_turn_followup,,,,,,pending,,content_catalog_licensing,other_miscellaneous,True,True,Brand response shown for reviewer orientation only.,medium,"Multiple taxonomy patterns matched (content_catalog_licensing, other_miscellaneous); guideline priority rules select content_catalog_licensing."
