pair_id,baseline,predicted_intent,retrieval_source_pair_id,machine_relevance,machine_helpfulness,machine_groundedness,machine_appropriateness,machine_unsupported_claims,machine_overall,machine_reason,method,source,generated_utc
pair_110043_1822595,KeywordBaseline,offline_downloads_issue,pair_2799_2798,0,2,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=21->H2; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.775410+00:00
pair_1219460_1219458,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.780470+00:00
pair_128851_128849,KeywordBaseline,offline_downloads_issue,pair_2799_2798,0,2,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=21->H2; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.780923+00:00
pair_128851_128849,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.781336+00:00
pair_1369161_1369160,KeywordBaseline,unclear_insufficient_context,pair_2747480_2747478,0,2,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=21->H2; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.781740+00:00
pair_1369161_1369160,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.782121+00:00
pair_152224_152223,KeywordBaseline,plan_management_discount,pair_11310_11311,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=19qact->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.782532+00:00
pair_152224_152223,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.782922+00:00
pair_1657195_1657193,KeywordBaseline,unclear_insufficient_context,pair_2747480_2747478,0,2,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=21->H2; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.783316+00:00
pair_1657195_1657193,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.783644+00:00
pair_1694974_1694973,KeywordBaseline,plan_management_discount,pair_11310_11311,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=19qact->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.784026+00:00
pair_1694974_1694973,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.784388+00:00
pair_1789318_1789317,KeywordBaseline,playback_streaming_issue,pair_849_851,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=19qact->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.784825+00:00
pair_1789318_1789317,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.785184+00:00
pair_1831276_1831275,KeywordBaseline,billing_subscription_payment,pair_893082_893084,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=22qact->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.785621+00:00
pair_1831276_1831275,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.785959+00:00
pair_1882096_1882095,KeywordBaseline,plan_management_discount,pair_11310_11311,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=19qact->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.786351+00:00
pair_1882096_1882095,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.786767+00:00
pair_1989696_1989695,KeywordBaseline,billing_subscription_payment,pair_893082_893084,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=22qact->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.787254+00:00
pair_1989696_1989695,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.787640+00:00
pair_199121_199122,KeywordBaseline,playback_streaming_issue,pair_849_851,2,3,3,3,0,3,rel_f1=0.21->R2; ov_re=1.00->G3; len=19qact->H3; clean->A3; no-extra-claims->U0; overall=3,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.788023+00:00
pair_199121_199122,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.788359+00:00
pair_199174_199172,KeywordBaseline,app_technical_device,pair_853_852,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=27qact->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.788771+00:00
pair_199174_199172,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.789146+00:00
pair_2105372_2105371,KeywordBaseline,account_access_credentials,pair_1584824_1584823,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=16act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.789593+00:00
pair_2105372_2105371,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.789947+00:00
pair_2206044_2206046,KeywordBaseline,playlist_library_curation,pair_855_854,1,2,3,3,0,2,rel_f1=0.08->R1; ov_re=1.00->G3; len=19q->H2; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.790319+00:00
pair_2206044_2206046,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.790682+00:00
pair_2284413_2284411,KeywordBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.791006+00:00
pair_2284413_2284411,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.791314+00:00
pair_2517250_2517253,KeywordBaseline,unclear_insufficient_context,pair_2747480_2747478,0,2,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=21->H2; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.791650+00:00
pair_2517250_2517253,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.791956+00:00
pair_2549174_2549173,KeywordBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.792261+00:00
pair_2549174_2549173,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.792584+00:00
pair_257844_257843,KeywordBaseline,content_catalog_licensing,pair_1877_1880,0,2,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=23->H2; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.792949+00:00
pair_257844_257843,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.793340+00:00
pair_257849_1802422,KeywordBaseline,content_catalog_licensing,pair_1877_1880,0,2,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=23->H2; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.793942+00:00
pair_257849_1802422,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.07->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.794322+00:00
pair_280591_280590,KeywordBaseline,plan_management_discount,pair_11310_11311,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=19qact->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.794685+00:00
pair_280591_280590,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.795003+00:00
pair_322402_322401,KeywordBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.795321+00:00
pair_322402_322401,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.795633+00:00
pair_371972_371971,KeywordBaseline,content_catalog_licensing,pair_1877_1880,0,2,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=23->H2; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.795970+00:00
pair_371972_371971,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,1,3,3,3,0,2,rel_f1=0.08->R1; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.796284+00:00
pair_378898_378897,KeywordBaseline,playlist_library_curation,pair_855_854,0,2,3,3,0,2,rel_f1=0.08->R0; ov_re=1.00->G3; len=19q->H2; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.796630+00:00
pair_378898_378897,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.796950+00:00
pair_384897_384896,KeywordBaseline,billing_subscription_payment,pair_893082_893084,0,3,3,3,0,2,rel_f1=0.07->R0; ov_re=1.00->G3; len=22qact->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.797363+00:00
pair_384897_384896,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.797685+00:00
pair_396203_396204,KeywordBaseline,offline_downloads_issue,pair_2799_2798,0,2,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=21->H2; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.798046+00:00
pair_396203_396204,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,2,3,3,3,0,3,rel_f1=0.31->R2; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=3,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.798354+00:00
pair_404220_404219,KeywordBaseline,offline_downloads_issue,pair_2799_2798,0,2,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=21->H2; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.798735+00:00
pair_404220_404219,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.799052+00:00
pair_465262_465265,KeywordBaseline,account_access_credentials,pair_1584824_1584823,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=16act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.799400+00:00
pair_465262_465265,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.799698+00:00
pair_539211_539210,KeywordBaseline,billing_subscription_payment,pair_893082_893084,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=22qact->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.800087+00:00
pair_539211_539210,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.800415+00:00
pair_54539_54538,KeywordBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.800745+00:00
pair_54539_54538,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.801082+00:00
pair_555496_555495,KeywordBaseline,playlist_library_curation,pair_855_854,0,2,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=19q->H2; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.801413+00:00
pair_555496_555495,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.801727+00:00
pair_639956_639955,KeywordBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.802029+00:00
pair_639956_639955,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.802329+00:00
pair_662956_662955,KeywordBaseline,account_access_credentials,pair_1584824_1584823,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=16act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.802696+00:00
pair_662956_662955,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.803007+00:00
pair_678420_678421,KeywordBaseline,app_technical_device,pair_853_852,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=27qact->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.803348+00:00
pair_678420_678421,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.803665+00:00
pair_739013_739011,KeywordBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.803972+00:00
pair_739013_739011,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.804300+00:00
pair_753650_1870105,KeywordBaseline,playlist_library_curation,pair_855_854,1,2,3,3,0,2,rel_f1=0.08->R1; ov_re=1.00->G3; len=19q->H2; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.804639+00:00
pair_753650_1870105,MostFrequentBaseline,other_miscellaneous,pair_478110_478112,0,3,3,3,0,2,rel_f1=0.00->R0; ov_re=1.00->G3; len=14act->H3; clean->A3; no-extra-claims->U0; overall=2,deterministic_heuristic_v1,deterministic_heuristic_v1 (no LLM call; API unavailable or bypassed),2026-09-13T07:18:57.804949+00:00
