pair_id,baseline,customer_message,context_before_customer,human_primary_intent,predicted_intent,generated_reply,retrieval_source_pair_id,retrieved_historical_response,reference_response,relevance_human,helpfulness_human,groundedness_human,appropriateness_human,unsupported_claims_human,overall_score_human,human_note,annotation_status,ai_suggestion_shown,ai_suggestion_values,human_confirmed,human_edited,annotation_mode
pair_1694974_1694973,MostFrequentBaseline,@117153 Just signed up for spotify premium + hulu and I can't activate hulu because I can not load up the web page :(,,plan_management_discount,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,"@514264 Hey! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /DF",,,,,,,,pending,,,,,
pair_1789318_1789317,KeywordBaseline,"@115888 I can't play anything by Lorde, wtf m8? legal bs or a glitch?",,content_catalog_licensing,playback_streaming_issue,@115887 Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt,pair_849_851,@115887 Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt,"@537493 Hey there! Are you getting any specific error messages? If so, can you send us a screenshot of it? /FR",,,,,,,,pending,,,,,
pair_1789318_1789317,MostFrequentBaseline,"@115888 I can't play anything by Lorde, wtf m8? legal bs or a glitch?",,content_catalog_licensing,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,"@537493 Hey there! Are you getting any specific error messages? If so, can you send us a screenshot of it? /FR",,,,,,,,pending,,,,,
pair_1831276_1831275,KeywordBaseline,@spotifycares you charged me twice for my service this month,,billing_subscription_payment,billing_subscription_payment,@115999 We understand! Can you DM us both of your account's email addresses and usernames? We'll help out there 🙂 /CG https://t.co/ldFdZRiNAt,pair_893082_893084,@115999 We understand! Can you DM us both of your account's email addresses and usernames? We'll help out there 🙂 /CG https://t.co/ldFdZRiNAt,@278435 Hi! Help's here. Can you DM us your account's username or email address? We'll take a look under the hood /CP https://t.co/ldFdZRiNAt,,,,,,,,pending,,,,,
pair_1831276_1831275,MostFrequentBaseline,@spotifycares you charged me twice for my service this month,,billing_subscription_payment,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,@278435 Hi! Help's here. Can you DM us your account's username or email address? We'll take a look under the hood /CP https://t.co/ldFdZRiNAt,,,,,,,,pending,,,,,
pair_1882096_1882095,KeywordBaseline,"@3493 Excited to sign up for a family plan... gave up after 30 minutes of ""expired forms"" and ""Invalid Postal Codes.  Frustrating.",,plan_management_discount,plan_management_discount,"@118153 Hey, help's here! Can you DM us your account's email address? We'll take a look backstage /MG https://t.co/ldFdZRiNAt",pair_11310_11311,"@118153 Hey, help's here! Can you DM us your account's email address? We'll take a look backstage /MG https://t.co/ldFdZRiNAt","@561659 Hey there, help's here! Can you DM us a screenshot of what you're seeing on your end? We'll see what we can suggest 🙂 /CG https://t.co/ldFdZRiNAt",,,,,,,,pending,,,,,
pair_1882096_1882095,MostFrequentBaseline,"@3493 Excited to sign up for a family plan... gave up after 30 minutes of ""expired forms"" and ""Invalid Postal Codes.  Frustrating.",,plan_management_discount,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,"@561659 Hey there, help's here! Can you DM us a screenshot of what you're seeing on your end? We'll see what we can suggest 🙂 /CG https://t.co/ldFdZRiNAt",,,,,,,,pending,,,,,
pair_1989696_1989695,KeywordBaseline,"@SpotifyCares It says you gave me a gift for my birthday, but I don't have a credit card. Can you just give my account premium?",,plan_management_discount,billing_subscription_payment,@115999 We understand! Can you DM us both of your account's email addresses and usernames? We'll help out there 🙂 /CG https://t.co/ldFdZRiNAt,pair_893082_893084,@115999 We understand! Can you DM us both of your account's email addresses and usernames? We'll help out there 🙂 /CG https://t.co/ldFdZRiNAt,"@588834 Hi there! Just to clarify, was it from an email you received? If so, can you DM us the content so we could have it checked? /JM https://t.co/ldFdZRiNAt",,,,,,,,pending,,,,,
pair_1989696_1989695,MostFrequentBaseline,"@SpotifyCares It says you gave me a gift for my birthday, but I don't have a credit card. Can you just give my account premium?",,plan_management_discount,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,"@588834 Hi there! Just to clarify, was it from an email you received? If so, can you DM us the content so we could have it checked? /JM https://t.co/ldFdZRiNAt",,,,,,,,pending,,,,,
pair_199121_199122,KeywordBaseline,@SpotifyCares Please don’t make this the default view of artwork when playing a song. Thanks. https://t.co/ihBfPlxirS,,other_miscellaneous,playback_streaming_issue,@115887 Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt,pair_849_851,@115887 Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt,@162922 1: Hi Jonny! Thanks for your feedback. Only some Spotify-created playlists currently have that format. We're always testing things in...,,,,,,,,pending,,,,,
pair_199121_199122,MostFrequentBaseline,@SpotifyCares Please don’t make this the default view of artwork when playing a song. Thanks. https://t.co/ihBfPlxirS,,other_miscellaneous,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,@162922 1: Hi Jonny! Thanks for your feedback. Only some Spotify-created playlists currently have that format. We're always testing things in...,,,,,,,,pending,,,,,
pair_199174_199172,KeywordBaseline,@115888 if you made speakers with the same functionality as Sonos (sound quality too) you'd take over the world,,other_miscellaneous,app_technical_device,"@115887 Thanks. Just to be sure, are you Free or Premium? Also, can you give us more info on what happens when you try using it? /CB",pair_853_852,"@115887 Thanks. Just to be sure, are you Free or Premium? Also, can you give us more info on what happens when you try using it? /CB","@162936 We hear you loud and clear, Jamie! Your feedback has been noted and passed onto the team 👊🏼 /MA",,,,,,,,pending,,,,,
pair_199174_199172,MostFrequentBaseline,@115888 if you made speakers with the same functionality as Sonos (sound quality too) you'd take over the world,,other_miscellaneous,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,"@162936 We hear you loud and clear, Jamie! Your feedback has been noted and passed onto the team 👊🏼 /MA",,,,,,,,pending,,,,,
pair_2105372_2105371,KeywordBaseline,"@SpotifyCares Hi, I am unable to change my emailadress for my account, it is created with facebook but it does not take the emailadress that is on the facebook page, help? The account in question is named 1140718189, got that weird username due to an earlier problem.",,account_access_credentials,account_access_credentials,@487657 Hey! We’re sorry to hear that. Check out https://t.co/QHn3okq8TV for what to do next /BH,pair_1584824_1584823,@487657 Hey! We’re sorry to hear that. Check out https://t.co/QHn3okq8TV for what to do next /BH,@621446 Hey! Can you fire over your account's email address or username via DM? We'll take a look backstage /RC https://t.co/ldFdZRiNAt,,,,,,,,pending,,,,,
pair_2105372_2105371,MostFrequentBaseline,"@SpotifyCares Hi, I am unable to change my emailadress for my account, it is created with facebook but it does not take the emailadress that is on the facebook page, help? The account in question is named 1140718189, got that weird username due to an earlier problem.",,account_access_credentials,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,@621446 Hey! Can you fire over your account's email address or username via DM? We'll take a look backstage /RC https://t.co/ldFdZRiNAt,,,,,,,,pending,,,,,
pair_2206044_2206046,KeywordBaseline,@SpotifyCares Just updated Spotify and it will play 1 song on album shuffle and then just stop playing,"Customer: Anybody else's Spotify app messing up? @115888
Brand: @645011 Hey there! What's happening exactly? Can you let us know the device, operating system, and Spotify version you're using? /MA",playback_streaming_issue,playlist_library_curation,"@115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",pair_855_854,"@115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",@645011 That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /KL,,,,,,,,pending,,,,,
pair_2206044_2206046,MostFrequentBaseline,@SpotifyCares Just updated Spotify and it will play 1 song on album shuffle and then just stop playing,"Customer: Anybody else's Spotify app messing up? @115888
Brand: @645011 Hey there! What's happening exactly? Can you let us know the device, operating system, and Spotify version you're using? /MA",playback_streaming_issue,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,@645011 That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /KL,,,,,,,,pending,,,,,
pair_2284413_2284411,KeywordBaseline,@SpotifyCares Thanks a bunch. 👍👍👍👍,"Customer: @115888 can you guys pls make Nigeria part of your region! Plsss we love music too!!!
Brand: @663845 Hey! We've just replied to your DM. Check your Messages 🙂 /BM",content_catalog_licensing,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,@663845 No worries! Let us know if we can help you with anything else /BM,,,,,,,,pending,,,,,
pair_2284413_2284411,MostFrequentBaseline,@SpotifyCares Thanks a bunch. 👍👍👍👍,"Customer: @115888 can you guys pls make Nigeria part of your region! Plsss we love music too!!!
Brand: @663845 Hey! We've just replied to your DM. Check your Messages 🙂 /BM",content_catalog_licensing,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,@663845 No worries! Let us know if we can help you with anything else /BM,,,,,,,,pending,,,,,
pair_2517250_2517253,KeywordBaseline,@SpotifyCares Gooood lookin,"Customer: @115888 can yall do me a big favor
Brand: @717059 Hey there! What can we do for you today? 🙂 /KT
Customer: @SpotifyCares Brooooo im real life struggling and I need the spotify premium b
Brand: @717059 Don't worry. If you haven't had Premium yet, you can get a free trial at https://t.co/WB5TSxRfDe 🙂 /KT",plan_management_discount,unclear_insufficient_context,@1084 Hey Nick! There's currently a 10k limit in Your Music (Songs + Albums + Artists). More info here: https://t.co/59ABtm5Ftl /MO,pair_2747480_2747478,@1084 Hey Nick! There's currently a 10k limit in Your Music (Songs + Albums + Artists). More info here: https://t.co/59ABtm5Ftl /MO,"@717059 Cool! If you ever need us again, just... https://t.co/AUc7DGJpgF 💚 /KT",,,,,,,,pending,,,,,
pair_2517250_2517253,MostFrequentBaseline,@SpotifyCares Gooood lookin,"Customer: @115888 can yall do me a big favor
Brand: @717059 Hey there! What can we do for you today? 🙂 /KT
Customer: @SpotifyCares Brooooo im real life struggling and I need the spotify premium b
Brand: @717059 Don't worry. If you haven't had Premium yet, you can get a free trial at https://t.co/WB5TSxRfDe 🙂 /KT",plan_management_discount,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,"@717059 Cool! If you ever need us again, just... https://t.co/AUc7DGJpgF 💚 /KT",,,,,,,,pending,,,,,
pair_2549174_2549173,KeywordBaseline,https://t.co/dtqkjEe0yY @SpotifyCares ? Really? @115888 @116130 @117168 @125633,,unclear_insufficient_context,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,@724311 Hey Mari! Can you give us a little more info on what the issue is? We'll see what we can suggest /K,,,,,,,,pending,,,,,
pair_2549174_2549173,MostFrequentBaseline,https://t.co/dtqkjEe0yY @SpotifyCares ? Really? @115888 @116130 @117168 @125633,,unclear_insufficient_context,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,@724311 Hey Mari! Can you give us a little more info on what the issue is? We'll see what we can suggest /K,,,,,,,,pending,,,,,
pair_257844_257843,KeywordBaseline,@SpotifyCares I am having a similar issue. When I paste my bio it isn't showing up. It is also not letting me paste my wiki link.,"Customer: Great news: You can now edit your artist bio on Spotify! Learn more here: https://t.co/IpYag6Y4RH https://t.co/u2eZp4OgDv
Customer: @125633 I'm not able to click in the box to type to add my bio?!?!?! Has anyone else had this problem?
Brand: @177342 Hi Mali, help's here! What device are you trying to edit your artist bio from? Have you tried an incognito window or different browser? /T",content_catalog_licensing,content_catalog_licensing,"@116129 1: Thanks! Looks like those albums are currently unavailable. Fingers crossed we'll be able to have them soon, but there's info about...",pair_1877_1880,"@116129 1: Thanks! Looks like those albums are currently unavailable. Fingers crossed we'll be able to have them soon, but there's info about...",@177341 2: You might also want to try using an incognito window. Let us know how it goes /MQ,,,,,,,,pending,,,,,
pair_257844_257843,MostFrequentBaseline,@SpotifyCares I am having a similar issue. When I paste my bio it isn't showing up. It is also not letting me paste my wiki link.,"Customer: Great news: You can now edit your artist bio on Spotify! Learn more here: https://t.co/IpYag6Y4RH https://t.co/u2eZp4OgDv
Customer: @125633 I'm not able to click in the box to type to add my bio?!?!?! Has anyone else had this problem?
Brand: @177342 Hi Mali, help's here! What device are you trying to edit your artist bio from? Have you tried an incognito window or different browser? /T",content_catalog_licensing,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,@177341 2: You might also want to try using an incognito window. Let us know how it goes /MQ,,,,,,,,pending,,,,,
pair_257849_1802422,KeywordBaseline,@125633 Is there a tool to post a playlist from an artist page yet? It'd be good to share playlists with fans that don't lead back to personal page,Customer: Great news: You can now edit your artist bio on Spotify! Learn more here: https://t.co/IpYag6Y4RH https://t.co/u2eZp4OgDv,playlist_library_curation,content_catalog_licensing,"@116129 1: Thanks! Looks like those albums are currently unavailable. Fingers crossed we'll be able to have them soon, but there's info about...",pair_1877_1880,"@116129 1: Thanks! Looks like those albums are currently unavailable. Fingers crossed we'll be able to have them soon, but there's info about...","@541590 Hey! You can contact our Artist team here: https://t.co/p1wbtdELHu! If you've reached out, DM us your email address &amp; we'll chase it up /Q https://t.co/ldFdZRiNAt",,,,,,,,pending,,,,,
pair_257849_1802422,MostFrequentBaseline,@125633 Is there a tool to post a playlist from an artist page yet? It'd be good to share playlists with fans that don't lead back to personal page,Customer: Great news: You can now edit your artist bio on Spotify! Learn more here: https://t.co/IpYag6Y4RH https://t.co/u2eZp4OgDv,playlist_library_curation,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,"@541590 Hey! You can contact our Artist team here: https://t.co/p1wbtdELHu! If you've reached out, DM us your email address &amp; we'll chase it up /Q https://t.co/ldFdZRiNAt",,,,,,,,pending,,,,,
pair_280591_280590,KeywordBaseline,@115888 why don't you work on my wifi traveling to work? And your app isn't given me the option to upgrade to premium.. my data is low,,plan_management_discount,plan_management_discount,"@118153 Hey, help's here! Can you DM us your account's email address? We'll take a look backstage /MG https://t.co/ldFdZRiNAt",pair_11310_11311,"@118153 Hey, help's here! Can you DM us your account's email address? We'll take a look backstage /MG https://t.co/ldFdZRiNAt",@182850 1: Hey Sophie! Can you let us know your device's make/model and the versions of its OS and the Spotify app? We'll see what we can do to help,,,,,,,,pending,,,,,
pair_280591_280590,MostFrequentBaseline,@115888 why don't you work on my wifi traveling to work? And your app isn't given me the option to upgrade to premium.. my data is low,,plan_management_discount,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,@182850 1: Hey Sophie! Can you let us know your device's make/model and the versions of its OS and the Spotify app? We'll see what we can do to help,,,,,,,,pending,,,,,
pair_322402_322401,KeywordBaseline,@SpotifyCares I haven’t been able to skip a song on my phone in 2 weeks? I thought you got 5 a day?,,playback_streaming_issue,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,@192808 Hi there! Help's here. Can you see if logging out &gt; restarting your device &gt; logging back in makes a difference Keep us posted /MU,,,,,,,,pending,,,,,
pair_322402_322401,MostFrequentBaseline,@SpotifyCares I haven’t been able to skip a song on my phone in 2 weeks? I thought you got 5 a day?,,playback_streaming_issue,other_miscellaneous,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,pair_478110_478112,@228591 We've just sent a DM your way. Let's carry on chatting there /PK,@192808 Hi there! Help's here. Can you see if logging out &gt; restarting your device &gt; logging back in makes a difference Keep us posted /MU,,,,,,,,pending,,,,,
